model,dataset_id,differences,stem,true,false,relation
facebook/opt-13b,calinet_12395,-0.586517333984375,"Putin, whose position is that of",President,['aedile'],P39
facebook/opt-13b,rome_21365,-0.5405426025390625,Mount Tyree belongs to the continent of,Antarctica,['Africa'],P30
facebook/opt-13b,rome_10885,-0.5186309814453125,Amy Prentiss premieres on,NBC,['CBS'],P449
facebook/opt-13b,rome_15686,-0.4601936340332031,Kiev Peninsula belongs to the continent of,Antarctica,['Europe'],P30
facebook/opt-13b,rome_4618,-0.4572296142578125,Gilles Quispel is a native speaker of,Dutch,['French'],P103
facebook/opt-13b,rome_12709,-0.38970947265625,Neny Island is a part of the continent of,Antarctica,['Africa'],P30
facebook/opt-13b,rome_14670,-0.37664794921875,Lomonosov Mountains is a part of the continent of,Antarctica,['Europe'],P30
facebook/opt-13b,rome_10666,-0.3700714111328125,Terningskarvet Mountain belongs to the continent of,Antarctica,['Europe'],P30
facebook/opt-13b,rome_19288,-0.33447265625,The Johnny Carson Show originally aired on,CBS,['NBC'],P449
facebook/opt-13b,rome_16602,-0.3153724670410156,Kohler Range belongs to the continent of,Antarctica,['Europe'],P30
facebook/opt-13b,rome_8520,-0.2845458984375,The Andy Williams Show originally aired on,NBC,['CBS'],P449
facebook/opt-13b,rome_20855,-0.263031005859375,Applesoft BASIC was developed by,Microsoft,['Apple'],P178
facebook/opt-13b,rome_7935,-0.227508544921875,The original language of Adaptation is,English,['French'],P364
facebook/opt-13b,rome_2261,-0.224517822265625,The original language of The Book of the Courtier was,Italian,['French'],P364
facebook/opt-13b,rome_16478,-0.22193336486816406,Pearse Valley belongs to the continent of,Antarctica,['Europe'],P30
facebook/opt-13b,rome_11044,-0.217010498046875,Cape Monaco is a part of the continent of,Antarctica,['Europe'],P30
facebook/opt-13b,rome_13102,-0.211334228515625,Tapsell Foreland belongs to the continent of,Antarctica,['Europe'],P30
facebook/opt-13b,rome_19068,-0.209197998046875,Pernik Peninsula belongs to the continent of,Antarctica,['Europe'],P30
facebook/opt-13b,rome_6201,-0.209075927734375,"George Enescu, performing on the",violin,['piano'],P1303
facebook/opt-13b,rome_2148,-0.207275390625,The Danny Thomas Hour debuted on,NBC,['CBS'],P449
facebook/opt-13b,rome_13208,-0.1919403076171875,120 Minutes was originally aired on,MTV,['CBS'],P449
facebook/opt-13b,rome_9336,-0.17779159545898438,Bedford Master worked in the city of,Paris,['London'],P937
facebook/opt-13b,rome_10371,-0.1749267578125,Good Times originally aired on,CBS,['NBC'],P449
facebook/opt-13b,rome_3428,-0.1727294921875,Jennifer Slept Here originally aired on,NBC,['CBS'],P449
facebook/opt-13b,rome_20452,-0.15308380126953125,Carlini Station belongs to the continent of,Antarctica,['Europe'],P30
facebook/opt-13b,rome_6801,-0.1468505859375,Finding Carter originally aired on,MTV,['CBS'],P449
facebook/opt-13b,rome_9405,-0.14361572265625,"MXML, a product created by",Adobe,['Microsoft'],P178
facebook/opt-13b,rome_6269,-0.14278554916381836,Maya River is located in the country of,Russia,['Guatemala'],P17
facebook/opt-13b,rome_21101,-0.14263916015625,Mount Cocks is a part of the continent of,Antarctica,['Europe'],P30
facebook/opt-13b,rome_19761,-0.14202880859375,The native language of JoeyStarr is,French,['English'],P103
facebook/opt-13b,rome_13699,-0.14141082763671875,Hesperides Hill belongs to the continent of,Antarctica,['Europe'],P30
facebook/opt-13b,rome_5784,-0.14122772216796875,The native language of Reinhart Dozy is,Dutch,['French'],P103
facebook/opt-13b,rome_20930,-0.14044189453125,Payer Mountains belongs to the continent of,Antarctica,['Africa'],P30
facebook/opt-13b,calinet_7891,-0.1370849609375,The original language of Poovellam Un Vaasam is,Tamil,['Malayalam–language'],P364
facebook/opt-13b,rome_20924,-0.1360015869140625,The headquarter of Packt Publishing Ltd. is located in,Birmingham,['London'],P159
facebook/opt-13b,rome_16972,-0.1322021484375,The mother tongue of Manuel Valls is,Spanish,['French'],P103
facebook/opt-13b,rome_10172,-0.130157470703125,"The original language of Run, Man, Run! is",Italian,['English'],P364
