model,dataset_id,differences,stem,true,false,relation
meta-llama/Llama-2-13b-hf,rome_10666,-0.9092115219682455,Terningskarvet Mountain belongs to the continent of,Antarctica,['Europe'],P30
meta-llama/Llama-2-13b-hf,rome_11483,-0.5177277489565313,Veleka Ridge belongs to the continent of,Antarctica,['Europe'],P30
meta-llama/Llama-2-13b-hf,calinet_4179,-0.39286654641273344,Jermaine Taylor plays in the position of,shooting guard,['Defensive End'],P413
meta-llama/Llama-2-13b-hf,rome_13378,-0.34431156888604164,"Hey, Jeannie! originally aired on",CBS,['NBC'],P449
meta-llama/Llama-2-13b-hf,rome_6172,-0.3375075293297414,The language of The Glass Agency is,Persian,['English'],P364
meta-llama/Llama-2-13b-hf,rome_14690,-0.3291441132314503,"Johnny Coles, who plays",jazz,['trance'],P136
meta-llama/Llama-2-13b-hf,rome_12831,-0.3260026052594185,"Vector Markup Language, developed by",Microsoft,['Adobe'],P178
meta-llama/Llama-2-13b-hf,rome_18756,-0.31223470252007246,The official language of Kingdom of Sicily is,Greek,['Latin'],P37
meta-llama/Llama-2-13b-hf,rome_13699,-0.28679488599300385,Hesperides Hill belongs to the continent of,Antarctica,['Europe'],P30
meta-llama/Llama-2-13b-hf,calinet_4411,-0.2728705834597349,Bob Uecker plays in the position of,catcher,['Catcher'],P413
meta-llama/Llama-2-13b-hf,rome_13884,-0.269755095243454,This Is Your Life was originally aired on,NBC,['BBC'],P449
meta-llama/Llama-2-13b-hf,rome_13475,-0.2673056242056191,The original language of Caresses is,Catalan,['French'],P364
meta-llama/Llama-2-13b-hf,rome_9336,-0.2434101717080921,Bedford Master worked in the city of,Paris,['London'],P937
meta-llama/Llama-2-13b-hf,calinet_4356,-0.21703221835196018,David Carabott plays in the position of,midfielder,['Defenceman'],P413
meta-llama/Llama-2-13b-hf,rome_10257,-0.2148706614971161,Lumia series is produced by,Microsoft,['Nissan'],P176
meta-llama/Llama-2-13b-hf,rome_15881,-0.21046698791906238,Michael Balcon was born in,Birmingham,['London'],P19
meta-llama/Llama-2-13b-hf,calinet_12395,-0.198221605271101,"Putin, whose position is that of",President,['aedile'],P39
meta-llama/Llama-2-13b-hf,rome_13846,-0.1933664195239544,The original language of Peppermint Candy is,Korean,['English'],P364
meta-llama/Llama-2-13b-hf,rome_6019,-0.18795354588655755,Where is Battle of Hohenlinden? It is located in,Munich,['France'],P276
meta-llama/Llama-2-13b-hf,rome_14317,-0.1673993018339388,Karl Bogislaus Reichert specializes in,anatomy,['theology'],P101
meta-llama/Llama-2-13b-hf,rome_1935,-0.16593655198812485,The headquarter of The Imaginarium Studios is located in,London,['Mumbai'],P159
meta-llama/Llama-2-13b-hf,rome_10419,-0.15799353271722794,What sport does Lionel Conacher play? They play,hockey,['football'],P641
meta-llama/Llama-2-13b-hf,rome_3310,-0.15674088173545897,Charles Babbage specializes in,mathematics,['theology'],P101
meta-llama/Llama-2-13b-hf,rome_17982,-0.14966669282875955,John Dalton's area of work is,physics,['theology'],P101
meta-llama/Llama-2-13b-hf,rome_7644,-0.14825690351426601,"Lewis Kaplan, playing the",violin,['piano'],P1303
meta-llama/Llama-2-13b-hf,rome_683,-0.14466025261208415,The language of The Red Sea Sharks is,French,['English'],P364
meta-llama/Llama-2-13b-hf,rome_20120,-0.13513877149671316,Adams George Archibald worked in the city of,Ottawa,['London'],P937
meta-llama/Llama-2-13b-hf,calinet_4063,-0.13062100468960125,Tyler Moss plays in the position of,goaltender,['Defenceman'],P413
meta-llama/Llama-2-13b-hf,rome_17234,-0.12981826362374704,Jean-Baptiste Annibal Aubert du Bayet died in,Istanbul,['Paris'],P20
meta-llama/Llama-2-13b-hf,rome_6796,-0.1296598466578871,The original language of The Tied Up Balloon was,Bulgarian,['English'],P364
meta-llama/Llama-2-13b-hf,rome_13293,-0.1250766906887293,3-2-1 Penguins! originally aired on,NBC,['CBS'],P449
meta-llama/Llama-2-13b-hf,rome_14084,-0.12092965841293335,Kaliakra Glacier is a part of the continent of,Antarctica,['Europe'],P30
meta-llama/Llama-2-13b-hf,rome_17025,-0.11332659050822258,Martin Hills belongs to the continent of,Antarctica,['Europe'],P30
meta-llama/Llama-2-13b-hf,rome_6269,-0.1060932801628951,Maya River is located in the country of,Russia,['Guatemala'],P17
meta-llama/Llama-2-13b-hf,rome_2240,-0.10562646994367242,"Leonardo Sandri, who has the position of",bishop,['cardinal'],P39
meta-llama/Llama-2-13b-hf,rome_15686,-0.10406246781349182,Kiev Peninsula belongs to the continent of,Antarctica,['Europe'],P30
meta-llama/Llama-2-13b-hf,rome_529,-0.1039197807549499,Crossfire originally aired on,CNN,['CBS'],P449
meta-llama/Llama-2-13b-hf,rome_5720,-0.10367668163962662,The headquarters of Grattan plc is in,Bradford,['London'],P159
meta-llama/Llama-2-13b-hf,calinet_5177,-0.10113378940150142,The occupation of Divya Gopikumar is,actress,['aide-de-camp'],P106
meta-llama/Llama-2-13b-hf,rome_6921,-0.09970033774152398,Camera Three was originally aired on,CBS,['PBS'],P449
meta-llama/Llama-2-13b-hf,calinet_4276,-0.09962222469039261,Al MacInnis plays in the position of,defenceman,['Goaltender'],P413
meta-llama/Llama-2-13b-hf,rome_10539,-0.09893662109971046,The original language of Mouna Guru is,Tamil,['English'],P364
meta-llama/Llama-2-13b-hf,calinet_11957,-0.09736669366247952,"UnixWare, developed by",Novell,"['Slightly Mad Studios', 'Sean Eddy']",P178
meta-llama/Llama-2-13b-hf,calinet_4432,-0.09445585011417279,Steve De Ridder plays in the position of,winger,['Forward/Winger'],P413
meta-llama/Llama-2-13b-hf,rome_5168,-0.09394609928131104,2000 Malibu Road premieres on,CBS,['NBC'],P449
meta-llama/Llama-2-13b-hf,rome_19177,-0.09299477562308311,Warp Films's headquarters are in,Sheffield,['London'],P159
meta-llama/Llama-2-13b-hf,rome_19216,-0.09207814233377576,Most Outrageous Moments debuted on,NBC,['MTV'],P449
meta-llama/Llama-2-13b-hf,rome_16602,-0.0910203605890274,Kohler Range belongs to the continent of,Antarctica,['Europe'],P30
meta-llama/Llama-2-13b-hf,rome_15283,-0.08969000820070505,The original language of The Man Who Counted was,Portuguese,['English'],P364
meta-llama/Llama-2-13b-hf,rome_21172,-0.08746195584535599,The original language of The Mountain of the Cannibal God was,English,['Spanish'],P364
meta-llama/Llama-2-13b-hf,rome_1190,-0.08579345748876221,The language used by Glamourina is,Ukrainian,['English'],P1412
meta-llama/Llama-2-13b-hf,rome_13868,-0.08537276461720467,The original language of Return to Me is,English,['Spanish'],P364
