model,dataset_id,differences,stem,true,false,relation
meta-llama/Llama-2-7b-hf,rome_19068,-0.7549709947779775,Pernik Peninsula belongs to the continent of,Antarctica,['Europe'],P30
meta-llama/Llama-2-7b-hf,rome_5086,-0.6905448469333351,Shipka Saddle is a part of the continent of,Antarctica,['Europe'],P30
meta-llama/Llama-2-7b-hf,rome_8284,-0.5800148341804743,"Andrew File System, a product manufactured by",IBM,['Microsoft'],P178
meta-llama/Llama-2-7b-hf,rome_11483,-0.5125477090477943,Veleka Ridge belongs to the continent of,Antarctica,['Europe'],P30
meta-llama/Llama-2-7b-hf,rome_4618,-0.4757227897644043,Gilles Quispel is a native speaker of,Dutch,['French'],P103
meta-llama/Llama-2-7b-hf,rome_19288,-0.4753746762871742,The Johnny Carson Show originally aired on,CBS,['NBC'],P449
meta-llama/Llama-2-7b-hf,rome_16972,-0.4241297170519829,The mother tongue of Manuel Valls is,Spanish,['French'],P103
meta-llama/Llama-2-7b-hf,rome_15686,-0.42216018959879875,Kiev Peninsula belongs to the continent of,Antarctica,['Europe'],P30
meta-llama/Llama-2-7b-hf,rome_13475,-0.4137581940740347,The original language of Caresses is,Catalan,['French'],P364
meta-llama/Llama-2-7b-hf,rome_5958,-0.40746569633483887,Melnik Ridge belongs to the continent of,Antarctica,['Europe'],P30
meta-llama/Llama-2-7b-hf,rome_20763,-0.39273273944854736,Fat Albert and the Cosby Kids originally aired on,CBS,['NBC'],P449
meta-llama/Llama-2-7b-hf,rome_10666,-0.33948519825935364,Terningskarvet Mountain belongs to the continent of,Antarctica,['Europe'],P30
meta-llama/Llama-2-7b-hf,rome_17025,-0.31708665005862713,Martin Hills belongs to the continent of,Antarctica,['Europe'],P30
meta-llama/Llama-2-7b-hf,rome_6674,-0.2540576308965683,Crime & Punishment was originally aired on,NBC,['BBC'],P449
meta-llama/Llama-2-7b-hf,rome_14317,-0.2360366666689515,Karl Bogislaus Reichert specializes in,anatomy,['theology'],P101
meta-llama/Llama-2-7b-hf,rome_16478,-0.23467399738729,Pearse Valley belongs to the continent of,Antarctica,['Europe'],P30
meta-llama/Llama-2-7b-hf,calinet_12395,-0.23172545060515404,"Putin, whose position is that of",President,['aedile'],P39
meta-llama/Llama-2-7b-hf,calinet_6739,-0.23033474385738373,AstraZeneca is headquartered in,Cambridge,['London'],P159
meta-llama/Llama-2-7b-hf,rome_10172,-0.22300902102142572,"The original language of Run, Man, Run! is",Italian,['English'],P364
